"labs","rws","ips","fsr","gs14k","gs24k_10","rw-ip","rw-fsr","rw-14k","rw-24k","ip-fsr","ip-14k","ip-24k","fsr-14k","fsr-24k"
"Birth","0.139240506329114","0.144","0.08300395256917","0.0731707317073171","0.0636704119850187","-.005",".056*",".066*",".069*",".061",".071*",".074*",".01",".013*"
"Religion","0.274261603375527","0.232","0.185770750988142","0.17479674796748","0.0411985018726592",".042",".088*",".099*",".227*",".046",".057*",".185*",".011",".138*"
"Illegal","0.379746835443038","0.316","0.158102766798419","0.227642276422764","0.0299625468164794",".064",".222*",".152*",".328*",".158",".088*",".264*","-.07",".106*"
"Death","0.337552742616034","0.236","0.130434782608696","0.166666666666667","0.0749063670411985",".102",".207*",".171*",".206*",".106",".069*",".104*","-.036","-.001*"
"Increase","0.291139240506329","0.26","0.229249011857708","0.207317073170732","0.0561797752808989",".031",".062*",".084*",".231*",".031",".053*",".2*",".022",".169*"
"Science","0.126582278481013","0.192","0.106719367588933","0.146341463414634","0.0187265917602996","-.065",".02*","-.02*",".107*",".085",".046*",".172*","-.04",".087*"
"MMR","0.139240506329114","0.124","0.0988142292490119","0.0813008130081301","0.0187265917602996",".015",".04*",".058*",".118*",".025",".043*",".103*",".018",".078*"
NA,NA,NA,NA,NA,NA,".026",".099***",".087***",".185***",".073",".061***",".159***","-.012",".086***"
NA,"237","250","253","246","267","","","","","","","","",""
